model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count,top1,top5
mobilenetv3_small_050,3035.37,84.321,256,224,0.03,0.92,1.59,57.89,80.194
simplenetv1_small_m1_05,2839.35,90.142,256,224,0.37,1.04,1.51,60.89,82.978
lcnet_050,2683.57,95.378,256,224,0.05,1.26,1.88,63.1,84.382
simplenetv1_small_m2_05,2340.51,109.357,256,224,0.46,1.19,1.51,61.524,83.432
mobilenetv3_small_075,1781.14,143.71,256,224,0.05,1.3,2.04,65.242,85.438
tf_mobilenetv3_small_075,1674.31,152.881,256,224,0.05,1.3,2.04,65.714,86.134
simplenetv1_small_m1_075,1524.64,167.887,256,224,0.83,1.56,3.29,67.764,87.66
tf_mobilenetv3_small_minimal_100,1308.27,195.657,256,224,0.06,1.41,2.04,62.908,84.234
simplenetv1_small_m2_075,1264.33,202.456,256,224,1.02,1.79,3.29,68.15,87.762
mobilenetv3_small_100,1263.23,202.637,256,224,0.06,1.42,2.54,67.656,87.634
tf_mobilenetv3_small_100,1220.08,209.803,256,224,0.06,1.42,2.54,67.924,87.664
mnasnet_small,1085.15,235.892,256,224,0.07,2.16,2.03,66.206,86.508
mobilenetv2_050,848.38,301.73,256,224,0.1,3.64,1.97,65.942,86.082
dla46_c,531.0,482.083,256,224,0.58,4.5,1.3,64.866,86.294
dla46x_c,318.32,804.189,256,224,0.54,5.66,1.07,65.97,86.98
dla60x_c,298.59,857.335,256,224,0.59,6.01,1.32,67.892,88.426
