model,top1,top1_err,top5,top5_err,param_count,img_size,cropt_pct,interpolation
tf_efficientnetv2_s,83.886,16.114,96.696,3.304,21.46,384,1.0,bicubic
xcit_small_24_p16_224_dist,83.868,16.132,96.724,3.276,47.67,224,1.0,bicubic
resnetv2_152x2_bit_teacher_384,83.844,16.156,97.118,2.882,236.34,384,1.0,bicubic
convnext_base,83.838,16.162,96.75,3.25,88.59,224,0.875,bicubic
xcit_small_24_p8_224,83.838,16.162,96.636,3.364,47.63,224,1.0,bicubic
crossvit_15_dagger_408,83.836,16.164,96.784,3.216,28.5,408,1.0,bicubic
resnest200e,83.828,16.172,96.892,3.108,70.2,320,0.909,bicubic
tf_efficientnet_b5,83.812,16.188,96.748,3.252,30.39,456,0.934,bicubic
efficientnetv2_rw_s,83.81,16.19,96.722,3.278,23.94,384,1.0,bicubic
vit_small_patch16_384,83.804,16.196,97.102,2.898,22.2,384,1.0,bicubic
swin_s3_small_224,83.768,16.232,96.452,3.548,49.74,224,0.9,bicubic
xcit_tiny_24_p8_384_dist,83.742,16.258,96.71,3.29,12.11,384,1.0,bicubic
xcit_medium_24_p8_224,83.736,16.264,96.394,3.606,84.32,224,1.0,bicubic
regnety_064,83.72,16.28,96.722,3.278,30.58,288,1.0,bicubic
resnetrs152,83.714,16.286,96.614,3.386,86.62,320,1.0,bicubic
regnetv_064,83.714,16.286,96.746,3.254,30.58,288,1.0,bicubic
regnety_160,83.69,16.31,96.776,3.224,83.59,288,1.0,bicubic
twins_svt_large,83.68,16.32,96.594,3.406,99.27,224,0.9,bicubic
resnet152d,83.678,16.322,96.738,3.262,60.21,320,1.0,bicubic
resmlp_big_24_distilled_224,83.588,16.412,96.648,3.352,129.14,224,0.875,bicubic
jx_nest_base,83.556,16.444,96.362,3.638,67.72,224,0.875,bicubic
cait_s24_224,83.458,16.542,96.564,3.436,46.92,224,1.0,bicubic
efficientnet_b4,83.424,16.576,96.596,3.404,19.34,384,1.0,bicubic
deit_base_distilled_patch16_224,83.392,16.608,96.486,3.514,87.34,224,0.9,bicubic
dm_nfnet_f0,83.386,16.614,96.574,3.426,71.49,256,0.9,bicubic
xcit_small_12_p16_224_dist,83.35,16.65,96.414,3.586,26.25,224,1.0,bicubic
swsl_resnext101_32x16d,83.35,16.65,96.844,3.156,194.03,224,0.875,bilinear
vit_base_patch32_384,83.348,16.652,96.834,3.166,88.3,384,1.0,bicubic
xcit_small_12_p8_224,83.344,16.656,96.48,3.52,26.21,224,1.0,bicubic
tf_efficientnet_b4_ap,83.252,16.748,96.394,3.606,19.34,380,0.922,bicubic
swsl_resnext101_32x4d,83.236,16.764,96.764,3.236,44.18,224,0.875,bilinear
swin_small_patch4_window7_224,83.216,16.784,96.324,3.676,49.61,224,0.9,bicubic
regnetv_040,83.2,16.8,96.662,3.338,20.64,288,1.0,bicubic
xception65,83.18,16.82,96.592,3.408,39.92,299,0.94,bicubic
convnext_small,83.15,16.85,96.432,3.568,50.22,224,0.875,bicubic
resnext101_64x4d,83.14,16.86,96.37,3.63,83.46,288,1.0,bicubic
twins_svt_base,83.138,16.862,96.42,3.58,56.07,224,0.9,bicubic
twins_pcpvt_large,83.134,16.866,96.604,3.396,60.99,224,0.9,bicubic
xception65p,83.126,16.874,96.478,3.522,39.82,299,0.94,bicubic
jx_nest_small,83.118,16.882,96.33,3.67,38.35,224,0.875,bicubic
deit_base_patch16_384,83.106,16.894,96.368,3.632,86.86,384,1.0,bicubic
tresnet_m,83.07,16.93,96.12,3.88,31.39,224,0.875,bilinear
tresnet_xl_448,83.054,16.946,96.172,3.828,78.44,448,0.875,bilinear
regnety_040,83.036,16.964,96.506,3.494,20.65,288,1.0,bicubic
tf_efficientnet_b4,83.024,16.976,96.3,3.7,19.34,380,0.922,bicubic
resnet101d,83.022,16.978,96.448,3.552,44.57,320,1.0,bicubic
xcit_large_24_p16_224,82.894,17.106,95.882,4.118,189.1,224,1.0,bicubic
resnest101e,82.89,17.11,96.318,3.682,48.28,256,0.875,bilinear
resnetv2_152x2_bit_teacher,82.872,17.128,96.57,3.43,236.34,224,0.875,bicubic
resnetv2_50x1_bit_distilled,82.822,17.178,96.528,3.472,25.55,224,0.875,bicubic
resnet152,82.82,17.18,96.13,3.87,60.19,224,0.95,bicubic
pnasnet5large,82.79,17.21,96.04,3.96,86.06,331,0.911,bicubic
nfnet_l0,82.752,17.248,96.518,3.482,35.07,288,1.0,bicubic
regnety_032,82.726,17.274,96.424,3.576,19.44,288,1.0,bicubic
twins_pcpvt_base,82.708,17.292,96.35,3.65,43.83,224,0.9,bicubic
ig_resnext101_32x8d,82.7,17.3,96.63,3.37,88.79,224,0.875,bilinear
xcit_medium_24_p16_224,82.638,17.362,95.974,4.026,84.4,224,1.0,bicubic
regnetz_c16_evos,82.632,17.368,96.476,3.524,13.49,320,0.95,bicubic
nasnetalarge,82.626,17.374,96.046,3.954,88.75,331,0.911,bicubic
levit_384,82.588,17.412,96.022,3.978,39.13,224,0.9,bicubic
