model,top1,top1_err,top5,top5_err,param_count,img_size,cropt_pct,interpolation
beit_large_patch16_512,88.6,11.4,98.656,1.344,305.67,512,1.0,bicubic
beit_large_patch16_384,88.404,11.596,98.608,1.392,305.0,384,1.0,bicubic
tf_efficientnet_l2_ns,88.348,11.652,98.648,1.352,480.31,800,0.96,bicubic
tf_efficientnet_l2_ns_475,88.232,11.768,98.546,1.454,480.31,475,0.936,bicubic
convnext_xlarge_384_in22ft1k,87.546,12.454,98.486,1.514,350.2,384,1.0,bicubic
beit_large_patch16_224,87.474,12.526,98.304,1.696,304.43,224,0.9,bicubic
convnext_large_384_in22ft1k,87.396,12.604,98.368,1.632,197.77,384,1.0,bicubic
swin_large_patch4_window12_384,87.15,12.85,98.24,1.76,196.74,384,1.0,bicubic
vit_large_patch16_384,87.08,12.92,98.3,1.7,304.72,384,1.0,bicubic
volo_d5_512,87.042,12.958,97.968,2.032,296.09,512,1.15,bicubic
convnext_xlarge_in22ft1k,87.002,12.998,98.212,1.788,350.2,224,0.875,bicubic
volo_d5_448,86.952,13.048,97.94,2.06,295.91,448,1.15,bicubic
tf_efficientnet_b7_ns,86.838,13.162,98.096,1.904,66.35,600,0.949,bicubic
beit_base_patch16_384,86.798,13.202,98.136,1.864,86.74,384,1.0,bicubic
volo_d4_448,86.79,13.21,97.882,2.118,193.41,448,1.15,bicubic
convnext_large_in22ft1k,86.636,13.364,98.028,1.972,197.77,224,0.875,bicubic
convnext_base_384_in22ft1k,86.544,13.456,98.19,1.81,88.59,384,1.0,bicubic
volo_d3_448,86.496,13.504,97.71,2.29,86.63,448,1.0,bicubic
cait_m48_448,86.486,13.514,97.752,2.248,356.46,448,1.0,bicubic
tf_efficientnet_b6_ns,86.454,13.546,97.882,2.118,43.04,528,0.942,bicubic
swin_base_patch4_window12_384,86.432,13.568,98.056,1.944,87.9,384,1.0,bicubic
tf_efficientnetv2_xl_in21ft1k,86.418,13.582,97.866,2.134,208.12,512,1.0,bicubic
swin_large_patch4_window7_224,86.314,13.686,97.892,2.108,196.53,224,0.9,bicubic
tf_efficientnetv2_l_in21ft1k,86.304,13.696,97.978,2.022,118.52,480,1.0,bicubic
vit_large_r50_s32_384,86.182,13.818,97.92,2.08,329.09,384,1.0,bicubic
dm_nfnet_f6,86.142,13.858,97.73,2.27,438.36,576,0.956,bicubic
tf_efficientnet_b5_ns,86.09,13.91,97.75,2.25,30.39,456,0.934,bicubic
volo_d5_224,86.072,13.928,97.578,2.422,295.46,224,0.96,bicubic
cait_m36_384,86.052,13.948,97.73,2.27,271.22,384,1.0,bicubic
volo_d2_384,86.04,13.96,97.572,2.428,58.87,384,1.0,bicubic
vit_base_patch16_384,86.01,13.99,98.002,1.998,86.86,384,1.0,bicubic
xcit_large_24_p8_384_dist,85.998,14.002,97.684,2.316,188.93,384,1.0,bicubic
volo_d4_224,85.874,14.126,97.468,2.532,192.96,224,0.96,bicubic
vit_large_patch16_224,85.838,14.162,97.82,2.18,304.33,224,0.9,bicubic
convnext_base_in22ft1k,85.824,14.176,97.866,2.134,88.59,224,0.875,bicubic
dm_nfnet_f5,85.816,14.184,97.486,2.514,377.21,544,0.954,bicubic
xcit_medium_24_p8_384_dist,85.814,14.186,97.592,2.408,84.32,384,1.0,bicubic
vit_base_patch8_224,85.794,14.206,97.794,2.206,86.58,224,0.9,bicubic
xcit_large_24_p16_384_dist,85.754,14.246,97.538,2.462,189.1,384,1.0,bicubic
dm_nfnet_f4,85.714,14.286,97.522,2.478,316.07,512,0.951,bicubic
tf_efficientnetv2_m_in21ft1k,85.59,14.41,97.744,2.256,54.14,480,1.0,bicubic
xcit_small_24_p8_384_dist,85.556,14.444,97.572,2.428,47.63,384,1.0,bicubic
dm_nfnet_f3,85.522,14.478,97.462,2.538,254.92,416,0.94,bicubic
tf_efficientnetv2_l,85.49,14.51,97.372,2.628,118.52,480,1.0,bicubic
cait_s36_384,85.462,14.538,97.48,2.52,68.37,384,1.0,bicubic
ig_resnext101_32x48d,85.436,14.564,97.576,2.424,828.41,224,0.875,bilinear
deit_base_distilled_patch16_384,85.422,14.578,97.332,2.668,87.63,384,1.0,bicubic
xcit_medium_24_p16_384_dist,85.422,14.578,97.406,2.594,84.4,384,1.0,bicubic
volo_d3_224,85.412,14.588,97.28,2.72,86.33,224,0.96,bicubic
xcit_large_24_p8_224_dist,85.398,14.602,97.41,2.59,188.93,224,1.0,bicubic
tf_efficientnet_b8_ap,85.372,14.628,97.292,2.708,87.41,672,0.954,bicubic
tf_efficientnet_b8,85.368,14.632,97.39,2.61,87.41,672,0.954,bicubic
swin_base_patch4_window7_224,85.248,14.752,97.562,2.438,87.77,224,0.9,bicubic
volo_d1_384,85.248,14.752,97.214,2.786,26.78,384,1.0,bicubic
beit_base_patch16_224,85.228,14.772,97.658,2.342,86.53,224,0.9,bicubic
volo_d2_224,85.194,14.806,97.188,2.812,58.68,224,0.96,bicubic
tf_efficientnet_b4_ns,85.162,14.838,97.47,2.53,19.34,380,0.922,bicubic
tf_efficientnet_b7_ap,85.12,14.88,97.252,2.748,66.35,600,0.949,bicubic
ig_resnext101_32x32d,85.1,14.9,97.434,2.566,468.53,224,0.875,bilinear
xcit_small_24_p16_384_dist,85.094,14.906,97.31,2.69,47.67,384,1.0,bicubic
xcit_small_12_p8_384_dist,85.08,14.92,97.28,2.72,26.21,384,1.0,bicubic
xcit_medium_24_p8_224_dist,85.072,14.928,97.28,2.72,84.32,224,1.0,bicubic
dm_nfnet_f2,85.062,14.938,97.24,2.76,193.78,352,0.92,bicubic
cait_s24_384,85.046,14.954,97.346,2.654,47.06,384,1.0,bicubic
tf_efficientnetv2_m,85.038,14.962,97.278,2.722,54.14,480,1.0,bicubic
regnetz_e8,85.03,14.97,97.264,2.736,57.7,320,1.0,bicubic
resnetrs420,85.01,14.99,97.124,2.876,191.89,416,1.0,bicubic
ecaresnet269d,84.976,15.024,97.226,2.774,102.09,352,1.0,bicubic
vit_base_r50_s16_384,84.97,15.03,97.29,2.71,98.95,384,1.0,bicubic
tf_efficientnet_b7,84.936,15.064,97.204,2.796,66.35,600,0.949,bicubic
xcit_large_24_p16_224_dist,84.922,15.078,97.132,2.868,189.1,224,1.0,bicubic
resnetv2_152x4_bitm,84.916,15.084,97.442,2.558,936.53,480,1.0,bilinear
xcit_small_24_p8_224_dist,84.876,15.124,97.188,2.812,47.63,224,1.0,bicubic
efficientnetv2_rw_m,84.812,15.188,97.146,2.854,53.24,416,1.0,bicubic
tf_efficientnet_b6_ap,84.786,15.214,97.138,2.862,43.04,528,0.942,bicubic
resnetrs350,84.718,15.282,96.988,3.012,163.96,384,1.0,bicubic
xcit_small_12_p16_384_dist,84.71,15.29,97.118,2.882,26.25,384,1.0,bicubic
eca_nfnet_l2,84.696,15.304,97.264,2.736,56.72,384,1.0,bicubic
dm_nfnet_f1,84.624,15.376,97.1,2.9,132.63,320,0.91,bicubic
vit_base_patch16_224,84.528,15.472,97.294,2.706,86.57,224,0.9,bicubic
resnest269e,84.52,15.48,96.986,3.014,110.93,416,0.928,bicubic
resnetv2_152x2_bitm,84.506,15.494,97.434,2.566,236.34,448,1.0,bilinear
regnetz_040h,84.496,15.504,97.006,2.994,28.94,320,1.0,bicubic
resnetv2_101x3_bitm,84.442,15.558,97.382,2.618,387.93,448,1.0,bilinear
resnetrs200,84.438,15.562,97.08,2.92,93.21,320,1.0,bicubic
resnetrs270,84.436,15.564,96.97,3.03,129.86,352,1.0,bicubic
vit_large_r50_s32_224,84.424,15.576,97.166,2.834,328.99,224,0.9,bicubic
resmlp_big_24_224_in22ft1k,84.394,15.606,97.12,2.88,129.14,224,0.875,bicubic
xcit_large_24_p8_224,84.394,15.606,96.656,3.344,188.93,224,1.0,bicubic
seresnet152d,84.36,15.64,97.04,2.96,66.84,320,1.0,bicubic
tf_efficientnetv2_s_in21ft1k,84.298,15.702,97.254,2.746,21.46,384,1.0,bicubic
convnext_large,84.292,15.708,96.894,3.106,197.77,224,0.875,bicubic
swsl_resnext101_32x8d,84.29,15.71,97.18,2.82,88.79,224,0.875,bilinear
xcit_medium_24_p16_224_dist,84.274,15.726,96.94,3.06,84.4,224,1.0,bicubic
vit_base_patch16_224_miil,84.272,15.728,96.802,3.198,86.54,224,0.875,bilinear
tf_efficientnet_b5_ap,84.256,15.744,96.976,3.024,30.39,456,0.934,bicubic
xcit_small_12_p8_224_dist,84.236,15.764,96.874,3.126,26.21,224,1.0,bicubic
regnetz_040,84.234,15.766,96.932,3.068,27.12,320,1.0,bicubic
seresnext101_32x8d,84.204,15.796,96.876,3.124,93.57,288,1.0,bicubic
crossvit_18_dagger_408,84.194,15.806,96.818,3.182,44.61,408,1.0,bicubic
